Model,Accuracy,Precision,Recall,F1 Score,Composite Score
Naive Bayes,0.7735179098390154,0.8121692394025819,0.7735179098390154,0.7436473039203397,0.7757130907502381
SVM,0.8834840814759722,0.8832509847335912,0.8834840814759722,0.8833399875611291,0.8833897838116662
Logistic Regression,0.8902017705909168,0.8893237224761594,0.8902017705909168,0.8895742227497022,0.8898253716019238
Lasso Regression,0.9021616563902017,0.9016061266373533,0.9021616563902017,0.9015895692942183,0.9018797521779938
Decision Tree,0.8406108298745232,0.8402836609800755,0.8406108298745232,0.8403780067101423,0.840470831859816
Random Forest,0.8625632782322881,0.8622918263962611,0.8625632782322881,0.8623977864341502,0.8624540423237469
KNN,0.4755284182241309,0.5967131663078451,0.4755284182241309,0.49075385164369006,0.5096309635999492
XGBoost,0.8917972217557161,0.8979652256279687,0.8917972217557161,0.8933146555519949,0.893718581172849
